id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1193753955018268672,1193272665164963840,1573448096000,2019-11-11,10:24:56,+0530,2479953434,muditisrocking,MUDIT BANSAL (DEFALT),,oof.,"['captain_kuro', 'fs0c131y']",[],[],0,0,0,[],[],https://twitter.com/MUDITISROCKING/status/1193753955018268672,False,,0,,,,,,,"[{'user_id': '2479953434', 'username': 'MUDITISROCKING'}, {'user_id': '59817969', 'username': 'captain_kuro'}, {'user_id': '3317233336', 'username': 'fs0c131y'}]",,,,
1193753243546873857,1190244771870191616,1573447926000,2019-11-11,10:22:06,+0530,2479953434,muditisrocking,MUDIT BANSAL (DEFALT),,it took you three days to reply to my tweet and you found this GIF. you had one job.,['tcsitwiz'],[],[],0,0,0,[],[],https://twitter.com/MUDITISROCKING/status/1193753243546873857,False,,0,,,,,,,"[{'user_id': '2479953434', 'username': 'MUDITISROCKING'}, {'user_id': '599959360', 'username': 'TCSITWiz'}]",,,,
1192837017245085697,1191807396689141761,1573229481000,2019-11-08,21:41:21,+0530,2479953434,muditisrocking,MUDIT BANSAL (DEFALT),,"All the way into securing people from windows vulnerabilities.

thanks for disowning windows xp and 7 like adopted kids for us to train on and secure the people to whom you should have been accountable.

Also i work on a MAC now.
thanks !!",['windows'],[],[],0,0,0,[],[],https://twitter.com/MUDITISROCKING/status/1192837017245085697,False,,0,,,,,,,"[{'user_id': '2479953434', 'username': 'MUDITISROCKING'}, {'user_id': '15670515', 'username': 'Windows'}]",,,,
1192834739125673984,1192340647132454913,1573228938000,2019-11-08,21:32:18,+0530,2479953434,muditisrocking,MUDIT BANSAL (DEFALT),,What was the cut-off ? i got 7 😅,['tcsitwiz'],[],[],0,0,0,[],[],https://twitter.com/MUDITISROCKING/status/1192834739125673984,False,,0,,,,,,,"[{'user_id': '2479953434', 'username': 'MUDITISROCKING'}, {'user_id': '599959360', 'username': 'TCSITWiz'}]",,,,
1192834123787669504,1190244771870191616,1573228791000,2019-11-08,21:29:51,+0530,2479953434,muditisrocking,MUDIT BANSAL (DEFALT),,"melee weapon. could be used to hurt or even kill the opponent in a gaming battle in a closed space.

the pro max version works even in open spaces.

ultra pro max plus version automatically does the required, just a voice command required.",['tcsitwiz'],[],[],1,0,0,[],[],https://twitter.com/MUDITISROCKING/status/1192834123787669504,False,,0,,,,,,,"[{'user_id': '2479953434', 'username': 'MUDITISROCKING'}, {'user_id': '599959360', 'username': 'TCSITWiz'}]",,,,
1188850411706318848,1188850411706318848,1572279000000,2019-10-28,21:40:00,+0530,2479953434,muditisrocking,MUDIT BANSAL (DEFALT),,"@TCSITWiz  See even i can predict the future..

gonna do it again.
AI robots handling your twitter handle in 2021. https://twitter.com/MUDITISROCKING/status/929245607176187905 …",['tcsitwiz'],['https://twitter.com/MUDITISROCKING/status/929245607176187905'],[],1,0,0,[],[],https://twitter.com/MUDITISROCKING/status/1188850411706318848,False,https://twitter.com/MUDITISROCKING/status/929245607176187905,0,,,,,,,"[{'user_id': '2479953434', 'username': 'MUDITISROCKING'}, {'user_id': '599959360', 'username': 'TCSITWiz'}]",,,,
1188849766580383744,1188311916155985920,1572278846000,2019-10-28,21:37:26,+0530,2479953434,muditisrocking,MUDIT BANSAL (DEFALT),,"happy DIWALI GUYS !!! 
may your HR give you the whole week off.",['tcsitwiz'],[],[],0,0,1,[],[],https://twitter.com/MUDITISROCKING/status/1188849766580383744,False,,0,,,,,,,"[{'user_id': '2479953434', 'username': 'MUDITISROCKING'}, {'user_id': '599959360', 'username': 'TCSITWiz'}]",,,,
1188847243798835200,1187005532437188608,1572278245000,2019-10-28,21:27:25,+0530,2479953434,muditisrocking,MUDIT BANSAL (DEFALT),,"well Twitter handle going in the right direction !! 😀😅😅

an intern on the other side maybe..",['tcsitwiz'],[],[],0,0,0,[],[],https://twitter.com/MUDITISROCKING/status/1188847243798835200,False,,0,,,,,,,"[{'user_id': '2479953434', 'username': 'MUDITISROCKING'}, {'user_id': '599959360', 'username': 'TCSITWiz'}]",,,,
1188846477327515655,1187368417965301761,1572278062000,2019-10-28,21:24:22,+0530,2479953434,muditisrocking,MUDIT BANSAL (DEFALT),,Rail Fence ! is it ?,['tcsitwiz'],[],[],1,0,0,[],[],https://twitter.com/MUDITISROCKING/status/1188846477327515655,False,,0,,,,,,,"[{'user_id': '2479953434', 'username': 'MUDITISROCKING'}, {'user_id': '599959360', 'username': 'TCSITWiz'}]",,,,
1187267179600728064,1187005532437188608,1571901528000,2019-10-24,12:48:48,+0530,2479953434,muditisrocking,MUDIT BANSAL (DEFALT),,"adventure

Monkey kong",['tcsitwiz'],[],[],1,0,1,[],[],https://twitter.com/MUDITISROCKING/status/1187267179600728064,False,,0,,,,,,,"[{'user_id': '2479953434', 'username': 'MUDITISROCKING'}, {'user_id': '599959360', 'username': 'TCSITWiz'}]",,,,
